FunctionAn,Category,Function,Gene.abbreviation,Corresponding.KO
Function1,Thermophilic specific,Thermophilic specific,rgy,K03170
Function2,Amino acid utilization,4-aminobutyrate aminotransferase and related aminotransferases,4-aminobutyrate aminotransferase and related aminotransferases,"K00823, K07250, K13524, K14268, K03918"
Function3,Amino acid utilization,Aminotransferase class I and II,aminotransferase class I and II,K05825
Function4,Amino acid utilization,Phosphoserine aminotransferase,phosphoserine aminotransferase,K00831
Function5,Amino acid utilization,Ornithine/acetylornithine aminotransferase,ornithine/acetylornithine aminotransferase,"K00819, K00821, K05830, K00840"
Function6,Amino acid utilization,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,"K00826, K02619, K03342"
Function7,Amino acid utilization,Aspartate/tyrosine/aromatic aminotransferase,aspartate/tyrosine/aromatic aminotransferase,"K00812, K00813, K11358, K00832"
Function8,Amino acid utilization,Histidinol-phosphate/aromatic aminotransferase,histidinol-phosphate/aromatic aminotransferase,K00817
Function9,Amino acid utilization,Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase,serine-pyruvate aminotransferase/archaeal aspartate aminotransferase,K00830
Function10,Ethanol fermentation,Acetate => Acetaldehyde,acetate => acetaldehyde,"K00129, K00138"
Function11,Ethanol fermentation,Acetaldehyde => Ethanol,acetaldehyde => ethanol,"K13954, K00001, K04072, K00114, K00002, K04022, K22473"
Function12,Fatty acid degradation,Fatty acid degradation,acyl-CoA dehydrogenase,"K00249, K00255, K06445, K06446, K09456, K09478, K11410, K15980, K18244"
Function13,Aromatics degradation,Protocatechuate/Catechol degradation,catA,K03381
Function14,Aromatics degradation,Phenol => Benzoyl-CoA,ubiX,K03186
Function15,Aromatics degradation,Phenol => Benzoyl-CoA,bsdC,K01612
Function16,Aromatics degradation,Benzoyl-CoA reduction,bcrC,K04112
Function17,Aromatics degradation,Benzoyl-CoA reduction,bcrB,K04113
Function18,Aromatics degradation,Benzoyl-CoA reduction,bcrA,K04114
Function19,Aromatics degradation,Benzoyl-CoA reduction,bcrD,K04115
Function20,Complex carbon degradation,Cellulose degrading,cellobiosidase,K19668
Function21,Complex carbon degradation,Cellulose degrading,cellulase,"K01179, K20542"
Function22,Complex carbon degradation,Cellulose degrading,beta-glucosidase,"K01188, K05349, K05350"
Function23,Complex carbon degradation,Hemicullulose debranching,arabinosidase,"K01209, K15921"
Function24,Complex carbon degradation,Hemicullulose debranching,beta-glucuronidase,K01195
Function25,Complex carbon degradation,Hemicullulose debranching,alpha-L-rhamnosidase,K05989
Function26,Complex carbon degradation,Endohemicellulases,"mannan endo-1,4-beta-mannosidase","K01218, K19355"
Function27,Complex carbon degradation,Endohemicellulases,alpha-D-xyloside xylohydrolase,K01811
Function28,Complex carbon degradation,Other oligosaccharide degrading,beta-xylosidase,K01198
Function29,Complex carbon degradation,Other oligosaccharide degrading,beta-mannosidase,K01192
Function30,Complex carbon degradation,Other oligosaccharide degrading,beta-galactosidase,"K01190, K12111, K12308"
Function31,Complex carbon degradation,Amylolytic enzymes,alpha-amylase,"K01176, K05343, K07405"
Function32,Complex carbon degradation,Amylolytic enzymes,glucoamylase,K01178
Function33,Complex carbon degradation,Amylolytic enzymes,pullulanase,K01200
Function34,Complex carbon degradation,Amylolytic enzymes,isoamylase,K01214
Function35,Complex carbon degradation,Chitin degrading,chitiniase,"K01183, K13381"
Function36,Complex carbon degradation,Chitin degrading,hexosaminidase,"K01207, K12373, K14459"
Function37,Fermentation,Pyruvate oxidation,porA,K00169
Function38,Fermentation,Alcohol utilization,adh,K00001
Function39,Fermentation,Lactate utilization,ldh,K00016
Function40,Fermentation,Acetogenesis,acdA,K01905
Function41,Fermentation,Acetogenesis,ack,K00925
Function42,Fermentation,Acetogenesis,pta,K00625
Function43,Fermentation,Acetate to acetyl-CoA,acs,K01895
Function44,Fermentation,Pyruvate <=> acetyl-CoA + formate ,pflD,K00656
Function45,C1 metabolism,Methanol oxidation,mxaF,K14028
Function46,C1 metabolism,Methanol oxidation,mdh,K00093
Function47,C1 metabolism,Methyl amine -> formaldehyde,mauA,K15228
Function48,C1 metabolism,Methyl amine -> formaldehyde,mauB,K15229
Function49,C1 metabolism,Formaldehyde oxidation,fdhA,K00148
Function50,C1 metabolism,Formaldehyde oxidation,fghA,K01070
Function51,C1 metabolism,Formaldehyde oxidation,frmA,K00121
Function52,C1 metabolism,Formaldehyde oxidation,mycoS_dep_FDH,K00153
Function53,C1 metabolism,Formaldehyde oxidation,fae,K10713
Function54,C1 metabolism,Formate oxidation,fdoG,K00123
Function55,C1 metabolism,Formate oxidation,fdwB,K22515
Function56,C1 metabolism,Formate oxidation,fdoH,K00124
Function57,C1 metabolism,Formate oxidation,fdhA,K22516
Function58,C1 metabolism,Formate oxidation,fdhB,K00125
Function59,C1 metabolism,Aerobic CO oxidation,coxS,K03518
Function60,C1 metabolism,Aerobic CO oxidation,coxM,K03519
Function61,C1 metabolism,Aerobic CO oxidation,coxL,K03520
Function62,Methane metabolism,Methane oxidation - Partculate methane monooxygenase,pmoA,K10944
Function63,Methane metabolism,Methane oxidation - Partculate methane monooxygenase,pmoB,K10945
Function64,Methane metabolism,Methane oxidation - Partculate methane monooxygenase,pmoC,K10946
Function65,Methane metabolism,Methane oxidation - Soluble methane monoxygenase,mmoB,K16160
Function66,Methane metabolism,Methane oxidation - Soluble methane monoxygenase,mmoD,K16162
Function67,Methane metabolism,Methane production,mcrA,K00399
Function68,Methane metabolism,Methane production,mcrB,K00401
Function69,Methane metabolism,Methane production,mcrC,K03421
Function70,Carbon fixation,CBB cycle - Rubisco,Form I,K01601
Function71,Carbon fixation,CBB cycle - Rubisco,Form II,K01601
Function72,Carbon fixation,3 Hydroxypropionate cycle,K14469,K14469
Function73,Carbon fixation,3 Hydroxypropionate cycle,mcr,K14468
Function74,Carbon fixation,3HP/4HB,K14466,K14466
Function75,Carbon fixation,3HP/4HB or DC/4-HB,K18861,K18861
Function76,Carbon fixation,DC/4-HB,4hbl,K14467
Function77,Carbon fixation,Wood Ljungdahl pathway,cdhD,K00194
Function78,Carbon fixation,Wood Ljungdahl pathway,cdhE,K00197
Function79,Carbon fixation,Wood Ljungdahl pathway,cooS,K00198
Function80,Carbon fixation,Reverse TCA cycle,aclA,K15230
Function81,Carbon fixation,Reverse TCA cycle,aclB,K15231
Function82,Nitrogen cycling,Ammonia oxidation,amoA,K10944
Function83,Nitrogen cycling,Ammonia oxidation,amoB,K10945
Function84,Nitrogen cycling,Ammonia oxidation,amoC,K10946
Function85,Nitrogen cycling,N2 fixation,anfD,N/A
Function86,Nitrogen cycling,N2 fixation,anfK,N/A
Function87,Nitrogen cycling,N2 fixation,anfG,K00531
Function88,Nitrogen cycling,N2 fixation,nifD,K02586
Function89,Nitrogen cycling,N2 fixation,nifK,K02591
Function90,Nitrogen cycling,N2 fixation,vnfD,K22896
Function91,Nitrogen cycling,N2 fixation,vnfK,K22897
Function92,Nitrogen cycling,N2 fixation,vnfG,K22898
Function93,Nitrogen cycling,N2 fixation,nifH,K02588
Function94,Nitrogen cycling,Nitrite oxidation,nxrA,K00370
Function95,Nitrogen cycling,Nitrite oxidation,nxrB,K00371
Function96,Nitrogen cycling,Nitrate reduction,napA,K02567
Function97,Nitrogen cycling,Nitrate reduction,napB,K02568
Function98,Nitrogen cycling,Nitrate reduction,narG,K00370
Function99,Nitrogen cycling,Nitrate reduction,narH,K00371
Function100,Nitrogen cycling,Nitrite reduction to ammonia,nrfH,K15876
Function101,Nitrogen cycling,Nitrite reduction to ammonia,nrfA,K03385
Function102,Nitrogen cycling,Nitrite reduction to ammonia,nrfD,K04015
Function103,Nitrogen cycling,Nitrite reduction to ammonia,nirB,K00362
Function104,Nitrogen cycling,Nitrite reduction to ammonia,nirD,K00363
Function105,Nitrogen cycling,Nitrite reduction,nirK,K00368
