sampleNames;sample;Year;site;enrichment;enrichment;days;Period;folder;Info4;Expname;Experimentator;Csource;CsourceBeta;biomass.enriched;filter.fraction;oxygen;thiosulfate;ammonium;nitrite;nitrate;methylamine;cellulose;starch;veratric.acid;soil.seepage;necromass;R2A;leaf.leachate;16S.gene.copies.per.L;dev;PNK;Before
01-JS;01-JS;NA;H41;starch;13JA-II-DNA-JS;70;>3weeks;16-cellulose;13C;starch;MT;organic_defined;organic_defined;NA;0.2;oxic;no;no;no;no;no;no;yes;no;no;no;no;no;NA;NA;NA;organic_defined
02-JS;02-JS;NA;H41;starch;12SA-II-DNA-JS;70;>3weeks;16-cellulose;12C;starch;MT;organic_defined;organic_defined;NA;0.2;oxic;no;no;no;no;no;no;yes;no;no;no;no;no;NA;NA;NA;organic_defined
03-JS;03-JS;NA;H41;starch;13SA-III-DNA-JS;70;>3weeks;16-cellulose;13C;starch;MT;organic_defined;organic_defined;NA;0.2;oxic;no;no;no;no;no;no;yes;no;no;no;no;no;NA;NA;NA;organic_defined
04-JS;04-JS;NA;H41;cellulose;13c-CHA-T1-DNA-JS;70;>3weeks;16-cellulose;13C;cellulose;MT;organic_defined;organic_defined;NA;0.2;oxic;no;no;no;no;no;yes;no;no;no;no;no;no;NA;NA;NA;organic_defined
05-JS;05-JS;NA;H41;cellulose;13c-CHA-II-DNA-JS;70;>3weeks;16-cellulose;13C;cellulose;MT;organic_defined;organic_defined;NA;0.2;oxic;no;no;no;no;no;yes;no;no;no;no;no;no;NA;NA;NA;organic_defined
08-JS;08-JS;NA;H41;starch;12SA-I-2-DNA-JS;70;>3weeks;16-cellulose;12C;starch;MT;organic_defined;organic_defined;NA;0.2;oxic;no;no;no;no;no;no;yes;no;no;no;no;no;NA;NA;NA;organic_defined
09-JS;09-JS;NA;H41;starch;12SA-II-DNA-JS;70;>3weeks;16-cellulose;12C;starch;MT;organic_defined;organic_defined;NA;0.2;oxic;no;no;no;no;no;no;yes;no;no;no;no;no;NA;NA;NA;organic_defined
10-JS;10-JS;NA;H41;cellulose;12CH-A-II-1-JS;70;>3weeks;16-cellulose;12C;cellulose;MT;organic_defined;organic_defined;NA;0.2;oxic;no;no;no;no;no;yes;no;no;no;no;no;no;NA;NA;NA;organic_defined
1000A;1000A;2021;H41;Soil Seepage;Soil Seepage;1059;>3weeks;13-2021 01 14 Wills long term;13-Soil Seepage;SeepageLongterm;WAO;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;yes;NA;NA;NA;organic_undefined
1000B;1000B;2021;H41;Soil Seepage;Soil Seepage;1059;>3weeks;13-2021 01 14 Wills long term;13-Soil Seepage;SeepageLongterm;WAO;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;yes;NA;NA;NA;organic_undefined
100A;100A;2021;H41;Soil Seepage;Soil Seepage;1059;>3weeks;13-2021 01 14 Wills long term;13-Soil Seepage;SeepageLongterm;WAO;organic_undefined;organic_undefined;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;yes;NA;NA;NA;organic_undefined
