sequence,Kingdom,Phylum,Class,Order,Family,Genus_water
H14-bin001_1,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17_A,UBA10092,UBA10092
H14-bin002_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium
H14-bin003_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,
H14-bin004_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,RBG-13-46-13
H14-bin005_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,Staskawiczbacteraceae,
H14-bin006,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,,
H14-bin007_1,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17_A,UBA10092,UBA10092
H14-bin008_1,N/A,N/A,N/A,N/A,N/A,N/A
H14-bin009_2,N/A,N/A,N/A,N/A,N/A,N/A
H14-bin010_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H14-bin011_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,
H14-bin012_1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,UBA5078
H14-bin013_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,Zambryskibacteraceae,UBA5004
H14-bin014_1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
H14-bin015,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,XYD2-FULL-41-16
H14-bin016_1,N/A,N/A,N/A,N/A,N/A,N/A
H14-bin017_1,Bacteria,Nitrospirota,Nitrospiria,2-01-FULL-66-17,,
H14-bin018_1,N/A,N/A,N/A,N/A,N/A,N/A
H14-bin018_2,N/A,N/A,N/A,N/A,N/A,N/A
H14-bin019_1,Bacteria,Chloroflexota,Dehalococcoidia,,,
H14-bin020_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA10200,
H14-bin021_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,
H14-bin022_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,GWA2-44-9,2-01-FULL-43-22
H14-bin023_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,MFKM01,
H14-bin024_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H14-bin025_1,Bacteria,Patescibacteria,Paceibacteria,Ryanbacterales,2-02-FULL-48-12,02-FULL-45-17b
H14-bin026_1,Bacteria,Patescibacteria,Paceibacteria,WO2-41-13,H02-45-28,HO2-45-28
H14-bin027_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H14-bin028_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,GWA2-44-9,
H14-bin029_1,Bacteria,Patescibacteria,ABY1,SG8-24,GWA2-47-26,
H14-bin030_1,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,HO2-52-23,
H14-bin031,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA1565,
H14-bin032_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,CSP1-6
H14-bin033,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA4665,PMNU01
H14-bin034_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,CSP1-6
H14-bin035_1,N/A,N/A,N/A,N/A,N/A,N/A
H14-bin036_1,Bacteria,Chloroflexota,Dehalococcoidia,,,
H14-bin037_1,Bacteria,Verrucomicrobiota_A,Chlamydiia,Parachlamydiales,Ga0074140,PSRO01
H14-bin038_1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NORP154,
H14-bin039_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SG8-39,RBG-16-66-20
H14-bin039_2,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H14-bin040_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H14-bin041_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,,
H14-bin042_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H14-bin043_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,,
H14-bin044_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2688775
H14-bin045,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,HO2-52-23,
H14-bin046,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,
H14-bin047_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SG8-41,SG8-41
H14-bin048_1,Bacteria,Chloroflexota,Dehalococcoidia,JdFR-54,,
H14-bin049_1,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,,
H14-bin050_1,Bacteria,Chloroflexota,Dehalococcoidia,,,
H14-bin051_1,Bacteria,Chloroflexota,Dehalococcoidia,JdFR-54,,
H14-bin052,Bacteria,Margulisbacteria,WOR-1,,,
H14-bin053_1,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,UBA9637,
H14-bin054_1,Bacteria,Nitrospirota,Nitrospiria,,,
H14-bin055_1,Bacteria,Binatota,Binatia,UBA9968,UBA9968,UBA9968
H14-bin056_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2688775
H14-bin057_2,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,UBA10015
H14-bin058_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,CSP1-6
H14-bin059,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SG8-41,PALSA-1004
H14-bin060_1,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,OLB17
H14-bin061_1,Bacteria,Chloroflexota,Dehalococcoidia,,,
H14-bin062_1,Bacteria,UBA8248,UBA8248,UBA8248,UBA8248,2-12-FULL-69-37
H14-bin063_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA10107,
H14-binn009_3,N/A,N/A,N/A,N/A,N/A,N/A
H32-bin001_1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalomonadales,SG8-11,
H32-bin002_1,Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,Iainarchaeaceae,Iainarchaeum
H32-bin003,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,
H32-bin004,Bacteria,Patescibacteria,Gracilibacteria,UBA1369,UM-FILTER-53-11,
H32-bin005_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,,,
H32-bin006_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,
H32-bin007_1,Bacteria,Patescibacteria,ABY1,UBA9570,,
H32-bin008_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Delftia
H32-bin009_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H32-bin010,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H32-bin011_1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca
H32-bin012_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosoarchaeum
H32-bin013_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546
H32-bin014,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,
H32-bin015_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Aquabacterium
H32-bin016_1,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,
H32-bin016_2,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,
H32-bin017_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,
H32-bin017_2,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,AR19
H32-bin018_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H32-bin019_1,Bacteria,Patescibacteria,Paceibacteria_A,Moranbacterales,UBA1568,UBA1568
H32-bin021_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,,
H32-bin022_1,Bacteria,Patescibacteria,Microgenomatia,UBA1400,,
H32-bin023_1,Bacteria,Verrucomicrobiota,Verrucomicrobiae,,,
H32-bin023_2,Bacteria,Verrucomicrobiota,Verrucomicrobiae,,,
H32-bin025_1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA4665,
H32-bin026_1,Bacteria,Chloroflexota_A,Ellin6529,P2-11E,P2-11E,
H32-bin027_1,Bacteria,Nitrospinota,UBA9942,UBA9942,UBA9942,PLOWO2-12-39-15
H32-bin028_1,Bacteria,Patescibacteria,ABY1,Buchananbacterales,2-01-FULL-39-33,
H32-bin029,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,,
H32-bin030_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D
H32-bin031_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,,
H32-bin032_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,2-02-FULL-44-35
H32-bin033_1,Archaea,Thermoplasmatota,E2,UBA9212,GCA-002838935,
H32-bin034_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,2-02-FULL-62-14
H32-bin035,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,
H32-bin036_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,UBA6901,
H32-bin036_2,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,UBA6901,UBA6901
H32-bin037_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H32-bin038_1,Archaea,Thermoplasmatota,E2,UBA9212,,
H32-bin039_1,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Nevskiaceae,
H32-bin040,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,UBA9637,
H32-bin041_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,UBA8516
H32-bin042_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,
H32-bin043_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,
H32-bin045_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,MFKM01,MFKM01
H32-bin046_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SG8-41,
H32-bin047_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,
H32-bin048_1,Bacteria,Eisenbacteria,RBG-16-71-46,RBG-16-71-46,RBG-16-71-46,
H32-bin049_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H32-bin050_1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA4665,
H32-bin051_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,,
H32-bin052_1,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,GWC2-37-13
H32-bin053_1,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17,M10-OD1-4,M10-OD1-4
H32-bin054_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,UBA10204
H32-bin055_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,UBA489,
H32-bin056_1,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,RBG-16-43-11
H32-bin057_1,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,
H32-bin058_1,Bacteria,Patescibacteria,Microgenomatia,UBA1406,GWC2-37-13,GWC2-37-13
H32-bin060_1,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,
H32-bin061_1,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,GCA-2861595,
H32-bin062_1,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,,
H32-bin065_1,Bacteria,Nitrospinota,UBA9942,UBA9942,UBA9942,
H32-bin066_1,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077554,Ga007554,
H32-bin067_1,Bacteria,Patescibacteria,ABY1,SG8-24,UBA11717,
H32-bin068_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,CSP1-1
H32-bin069,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,
H32-bin070_1,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,
H32-bin072_1,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,,
H32-bin073_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546
H32-bin074_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,GWA2-73-35
H32-bin075_1,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,UBA9637,
H32-bin076,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,2-01-FULL-39-10-A
H32-bin077,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,GWA2-44-9,2-01-FULL-41-26
H32-bin079_1,Bacteria,Nitrospirota,Nitrospiria,2-01-FULL-66-17,,
H32-bin080_1,Bacteria,Nitrospirota,Nitrospiria,2-01-FULL-66-17,,
H32-bin081_1,Bacteria,Patescibacteria,UBA1384,2-12-FULL-50-11,2-12-FULL-50-11,
H32-bin082_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales_A,2-12-FULL-67-15,2-12-FULL-67-15
H32-bin084_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,ARS50
H32-bin085_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H32-bin086_1,Bacteria,Chloroflexota_A,Ellin6529,P2-11E,P2-11E,
H32-bin087_1,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,,
H32-bin088_1,Bacteria,Patescibacteria,ABY1,UBA2169,UBA2169,2-02-FULL-48-11-A
H32-bin089_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,,
H32-bin092_1,Bacteria,Patescibacteria,ABY1,UBA10025,PEXW01,PEXW01
H32-bin093_1,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,GWC2-55-46,
H32-bin094_1,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,,
H32-bin095_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D
H32-bin096_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,,
H32-bin097_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosoarchaeum
H32-bin098_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,UBA6901,UBA6901
H32-bin099_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H32-bin100,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H32-bin101_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,
H32-bin102_1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,
H32-bin103_1,Bacteria,Nitrospirota,Nitrospiria,2-01-FULL-66-17,,
H32-bin104_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,UBA8516
H32-bin105_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,1-14-0-10-34-76
H32-bin106_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SG8-39,2-12-FULL-64-23
H32-bin107_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,02-FULL-45-10c,
H32-bin108_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,UBA6065
H32-bin109_1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,SZUA-320
H32-bin110_1,Bacteria,Eisenbacteria,RBG-16-71-46,RBG-16-71-46,RBG-16-71-46,
H32-bin111_1,Bacteria,Patescibacteria,ABY1,UBA1544,,
H32-bin112_1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales_A,2-12-FULL-67-15,2-12-FULL-67-15
H32-bin113_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,2-12-FULL-39-13
H32-bin114,Bacteria,Patescibacteria,Microgenomatia,UBA1400,MFAQ01,2-01-FULL-50-23
H32-bin115_1,Bacteria,Nitrospirota,Nitrospiria,2-01-FULL-66-17,,
H32-bin116_1,Bacteria,Patescibacteria,ABY1,UBA11705,UBA11705,
H32-bin117_1,Bacteria,Patescibacteria,ABY1,UBA2169,UBA2169,CG10-46-32
H32-bin118_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,,
